id,name,price,shop,品牌,内存,CPU,销量
10148776137558,联想拯救者Y7000P 2025补贴20%游戏笔记本电脑酷睿i7满血4060独显 可选昭阳X3核显大学生工作站CAD建模 i7-13620H 32G内存 1TB固态升级X3 全新升级 官方正品丨1w+,5049.75,联想思凯乐专卖店,联想,61GB,Intel i7,2429
10147538394663,联想笔记本电脑国家补贴20%Pro升级版14.1英寸轻薄游戏本大学生剪辑设计办公异能者笔记本手提电脑 热销 N100 16G+512G固态 P14H,2399,联想有点授权专卖店,联想,62GB,Intel 其他,734
10130617805552,联想小新Pro14笔记本电脑  2025可选酷睿i5高性能超轻薄本 设计扬天v办公大学生游戏本air14异能者可选 N100 16G内存 512G高速固态 P14H IPS全高清屏 满血性能...,2399,联想福本专卖店,联想,63GB,Intel i5,932
10148410852363,UIG拯救系列国行2025新英特尔酷睿i964G笔记本电脑轻薄本学生办公高性能游戏本金榜设计AI手提本 拯救系列酷睿i9级/背光指纹解锁英雄联盟...,1488,UIG电脑旗舰店,其他,64GB,Intel i9,955
10117072412600,戴睿dere极光系列2025新品+2.2K超清屏可选高颜值笔记本电脑轻薄本 便携学生游戏商务办公网课学习电脑 Pro版超薄高配英特尔丨办公追剧游戏 16G内存丨256G固态基础,1599,戴睿笔记本旗舰店,其他,65GB,其他,234
10091980884428,i5 i7四核惠普 联想 戴尔 华硕二手笔记本电脑游戏设计 办公笔记本电脑12 14 15 17寸 14寸联想笔记本电脑 官方套餐 9成新,498,瑞程二手电脑专营店,联想,66GB,Intel i5,798
100154447579,小米笔记本电脑国家补贴20%红米REDMI Book 14焕新版轻薄本高性能酷睿i5 16G 512G 25年新品上市,3299,京东自营,小米,67GB,Intel i5,667
100134301565,联想Lenovo 异能者生态  笔记本电脑 国家补贴20% P14H 14.1英寸轻薄本办公本商务 N100 8G 256G,2089,京东自营,联想,68GB,Intel 其他,499
10079114602099,HUATWAI国行2024全新16代英特尔+酷睿i7独显笔记本电脑高清IPS屏学习商用办公大学生手提AI游戏本 AI轻薄本英特尔16pro+指纹背光+玫瑰金 8G运行内...,1078,HUATWAI电脑办公旗舰店,其他,69GB,Intel i7,476
100139459434,方正国家补贴20%鲲鹏系列笔记本电脑新款N100商务办公15.6寸高性能16G轻薄本手提512G大学生便携笔记本,1769,京东自营,其他,70GB,Intel 其他,133
10151103927694,诺米澳全新2025笔记本电脑轻薄本网课学习设计便携全金属商务办公游戏大屏学生手提电脑 book154K级15.6英寸+i5级+指纹锁 16G高速运存+128G固态硬盘,1199,诺米澳官方旗舰店,其他,71GB,Intel i5,398
10038237747020,H&U&W国行2025新英特尔+酷睿i7笔记本电脑轻薄本大学生办公便携高性能游戏本商务设计AI标压手提本 15代14英寸英特尔IPS护眼+9D蓝光全面屏 8G内...,955,H&U&W旗舰店,其他,72GB,Intel i7,505
10110411111748,联想小新air14plus笔记本电脑超轻薄便携商务办公学生设计家用网课2K Air1410代i5/8G/256G 14英寸 高清护眼屏 官方标配+399赠品礼包,1899,小新Think官企办公本小店,联想,73GB,Intel i5,1312
100046657022,惠普HP国家补贴20%锐15 AMD锐龙 15.6英寸轻薄笔记本电脑(六核R5-7530U 16G 512G指纹 一年上门),3099,京东自营,惠普,74GB,Ryzen 5,848
10053758851864,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 轻薄款14代英特尔IPS护眼屏 16GB运存+...,1218,HALIWEI旗舰店,其他,75GB,Intel i7,815
10138416020766,机械革命蛟龙16pro5070TI 蛟龙16pro2025蛟龙16k 送黑神话悟空好评赢取 2025新品蛟龙畅玩黑神话悟空 蛟龙16k R7 -7435H 4050 基础高性价比16G+512G高,4599,硕海通笔记本专营店,机械革命,76GB,Ryzen 7,781
10138224556054,联想国家补贴20%笔记本电脑V15  全新处理器 企业办公商务学生设计轻薄便携本 15.6英寸高清护眼屏 热销英特尔N4500 8G 256G高速固态,2199,联想商用办公官方旗舰店,联想,77GB,Intel 其他,442
10079625675852,KHXZ国行新品2025款英特尔+酷睿i7金属笔记本电脑轻薄本大学生上网课设计学习商务办公AI游戏手提 高配英特尔16Pro+IPS窄边屏+护眼抗蓝光 8G运行+128G...,779,晶品必优电脑办公专营店,其他,78GB,Intel i7,651
10038266364599,联想Lenovo) 拯救者15.6寸Y7000/ R9000P高刷电竞吃鸡设计游戏本二手笔记本电脑 9新I7-4代标压 GTX960游戏通杀14isk 16G内存+512G固态,1424,新茂二手电脑专营店,联想,79GB,Intel i7,1082
100054923359,惠普HP国家补贴20%锐15 AMD锐龙15.6英寸轻薄笔记本电脑(六核R5-7530U 8G 512G指纹 一年上门),2799,京东自营,惠普,80GB,Ryzen 5,900
10095517873629,联想拯救者R7000P 2025补贴20% AI元启R7标压 RTX4060满血游戏3A 16英寸学生政府可选昭阳笔记本电脑 全新六核7000系 16G-1TB丨升级X5 高速固态丨疾速WiFi6技术,3298.4,电竞游戏笔记本授权店,联想,81GB,Ryzen 7,816
10115537626677,HUATWAI国行2025新款英特尔酷睿i7笔记本电脑轻薄本15.6英寸高清IPS屏商务办公网课设计大学生游戏本 旗舰款全新16代英特尔Pro Book  银色 16G大运...,1279,HUATWAI旗舰店,其他,82GB,Intel i7,682
10125098765625,HUWDI国行2025新款笔记本电脑全新酷睿i7+独显处理器15.6英寸大屏高性能娱乐学习办公游戏全能本 英特尔超值本IPS柔光纸类屏款灰色 16G运行+256固态存储,1599,HUWDI电脑整机官方旗舰店,其他,83GB,Intel i7,548
10115117113566,I7满血独显笔记本电脑轻薄本高端高性能金属游戏设计 英特尔14 Pro2.5K全面屏+抗蓝光+指纹 32G内存+512G超速硬盘,2588,亿盛源电脑办公专营店,其他,84GB,Intel i7,956
10135563895417,小米红米RedmiBook14Pro15轻薄2024设计办公学生16游戏独显笔记本电脑 红米14i5-8265U/8+256独显 官方标配|内存硬盘可升级定制 店保两年|正品保障,1647,MIFANS米粉严选拼购店,小米,85GB,Intel i5,885
10107525100532,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16pro+4K窄边全面屏蓝光级 32G...,2298,HALIWEI旗舰店,其他,86GB,Intel i7,752
10123852242700,戴尔DELL戴尔笔记本电脑i7剪辑设计商务办公轻薄本吃鸡游戏本流畅高清 2 -i7 -16G-1TB -独显1G 标准套餐,1280,夏忆九五新电脑数码经营部,戴尔,87GB,Intel i7,995
100096927364,华硕a豆14 2025新品AI轻薄本 笔记本电脑(13代i5 16G 1T超大硬盘 护眼屏 赠office)国家补贴20%办公 青,3599,京东自营,华硕,88GB,Intel i5,411
10087006660640,联想Thinkpad (独显)T480T490T14s 轻薄便携商务办公游戏本 九成新二手笔记本电脑 主推T450 i5-5代 16+500G固9新,1032,首创二手电脑专营店,联想,89GB,Intel i5,1308
100199987222,华为MateBook D 16 Linux版 国家补贴20% 笔记本电脑 13代酷睿标压处理器 i5 16G 1T 皓月银,4299,京东自营,华为,90GB,Intel i5,1770
10145951134352,隐星G15游戏笔记本电脑15.6英寸电竞高色域高刷学生设计剪辑将星X15升级款AI手提本 国家补贴G15灰i5 16G 512G官标 RTX4060 8G独显,5439,七彩虹Colorful旗舰店,七彩虹,91GB,Intel i5,529
10109225469459,联想Lenovo)二手笔记本电脑小新 Air/pro 14寸 剪辑编程轻薄商务制图办公本 双核Intel4G/128G商务办公 - 9成新,407,方与园二手电脑专营店,联想,92GB,Intel 其他,386
100134301545,联想Lenovo异能者生态 笔记本电脑 国家补贴20%  P14H  14.1英寸轻薄本办公本商务 N100 16G 512G,2389,京东自营,联想,93GB,Intel 其他,279
100098924539,AOC笔记本电脑新款大师N300国家补贴20%英特尔12代15.6英寸轻薄护眼商务办公学生本16+512GB一级能效,1793,京东自营,其他,94GB,其他,347
100115497119,戴睿dere国家补贴英特尔14英寸2K超清屏笔记本电脑自营超轻薄便携学生网课游戏商务办公12G/256G 星空灰,1380,京东自营,其他,95GB,其他,260
100195779460,联想拯救者R7000P  16英寸电竞游戏本笔记本电脑(锐龙7 8845H 16G 1T RTX4060 2.5K )灰 国家补贴20%,7999,京东自营,联想,96GB,Ryzen 7,1294
10109896960121,联想笔记本电脑Thinkbook14+轻薄商务14英寸办公本学生设计师游戏i5i7 14si5-8265U/8G/256G/独显 官方正品 官方标配+赠品大礼包,1899,小新Think官企办公本小店,联想,97GB,Intel i5,649
10147785689179,华为HUAWEI笔记本电脑16英寸i7商务办公大学生游戏轻薄本 华为荣耀14-R5-i7-9代-8G-256G 标准套餐,1780,夏忆九五新电脑数码经营部,华为,98GB,Intel i7,1241
10107948296304,HUATWAI国行2025新款英特尔酷睿i7笔记本电脑轻薄本15.6英寸高清IPS屏商务办公网课设计大学生游戏本 旗舰款全新16代英特尔Pro Book 粉色 32G大运...,2096,HUATWAI旗舰店,其他,99GB,Intel i7,912
10065469051000,戴尔DELL 笔记本电脑二手 灵越成就14/15.6寸轻薄本 编程设计网课学习商务办公本独显 9新店长力荐i7二代/16G+1TB独显12款,919,盘古二手电脑专营店,戴尔,100GB,Intel i7,974
10136856444046,ZWIDE智纬NA08H迷你笔记本电脑8英寸触屏二合一商务办公便捷口袋掌上电脑 12G运存+128GB高速固态硬盘 lntel-N150,2099,ZWIDE数码旗舰店,其他,101GB,其他,390
10037429307831,戴尔二手笔记本电脑14/15.6英寸便携绘图编程代码轻薄商务办公本 9新限秒升级i7-二代/16g1t固态-12款,819,鑫航二手电脑专营店,戴尔,102GB,Intel i7,589
100112301062,华硕天选5 国家补贴20%15.6英寸高性能游戏本 笔记本电脑(锐龙7 R7-8845H 16G 512G RTX4060 高色域)灰,6799,京东自营,华硕,103GB,Ryzen 7,597
10133889665763,联想笔记本电脑小新Pro16可选 2025店铺20%高性能标压酷睿i5性能本 政府办公游戏设计扬天V轻薄笔记本 爆款V15 N4500 16G内存 512G固态 精装升级 独显级显卡...,2354.99,ThinkPad物云专卖店,联想,104GB,Intel i5,1182
100068523527,戴睿dere国家补贴20%爆款16英寸高性能酷睿i9 笔记本电脑自营旗舰轻薄 AI智能商务办公游戏本 32G/1TB 2.5K,3487,京东自营,其他,105GB,Intel i9,504
100212784818,华硕天选6 Pro 酷睿版 国家补贴20%Ultra 7 16英寸游戏本笔记本电脑(U7-255HX 16G 1T RTX5070 2.5K)灰,10699,京东自营,华硕,106GB,Intel 其他,142
10136849654981,天选者Ultra5pro官方补贴20%+2025新款笔记本电脑酷睿i9/4060独显高性能金属AI设计轻薄本电竞游戏本 酷睿I9级八核+升级8G显存+人脸解锁设计游戏 16G内存+512GB固,2779.2,天选者旗舰店,其他,107GB,Intel i9,378
10150847712465,联想拯救者Y7000P游戏笔记本 2025补贴20%电脑i7满血RTX4060独显 大学生设计师3D建模昭阳电竞本可选 i7-13620H 16G内存+1TB固态丨X3 全新升级 官方正品 热销爆款,4699,联想京惠选专卖店,联想,108GB,Intel i7,1599
10125542010717,HALIWEI新款2025年AMD锐龙笔记本电脑R5/R7-7840HS高刷高性能金属商务办公上网课学习畅玩黑神话悟空 高配本八核Ultra R7同比酷睿i9性能 32G运行+1024G...,3399,HALIWEI旗舰店,其他,109GB,Intel i9,1528
10107525100536,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16pro+4K窄边全面屏蓝光级 16G...,1606,HALIWEI旗舰店,其他,110GB,Intel i7,924
100122210501,联想笔记本电脑小新14高能轻薄本 标压锐龙7 8745H 16G 512G 高色域护眼屏 丰富接口国家补贴20%,3499,京东自营,联想,111GB,AMD 锐龙,286
10095475296358,联想lenovo小新等系列二手笔记本 14/15.6寸商务办公 视频剪辑 设计制图轻薄笔记本电脑 店长热荐酷睿2双核-16G+620G混合盘核显 9成新,599,渝新优品二手电脑专营店,联想,112GB,Intel 其他,470
100061693621,戴睿dere国家补贴商务旗舰高性能笔记本电脑自营 办公设计绘图学生网课娱乐游戏手提轻薄本 英特尔16G+512G,1895,京东自营,其他,113GB,其他,353
100120701669,方正鲲鹏系列笔记本电脑高性能15.6英寸12G大学生办公商务N95娱乐1TB大容量超轻薄本手提电脑,1754,京东自营,其他,114GB,Intel N系列,314
100157971231,联想小新Pro16 2025轻薄笔记本电脑 2代酷睿Ultra5 32G 1T 2.8K OLED 120Hz 1100nits国家补贴20%,6199,京东自营,联想,115GB,Intel 其他,506
10107525100539,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16Ultra1060独显+蓝光 32GB运存+...,2868,HALIWEI旗舰店,其他,116GB,Intel i7,740
10038654855528,联想Lenovo)拯救者15.6寸Y7000/R9000P高刷电竞游戏本i73060二手笔记本电脑 95新i7-7700H 1050电竞游戏r720 高配16G内存+512G固态,1457,优品精选二手笔记本专营店,联想,117GB,Intel i7,1448
100153760309,Apple/苹果国家补贴AI笔记本/2025款MacBook Air13英寸M4 (10+8核) 16G 256G天蓝色电脑MC6T4CH/A,7999,京东自营,苹果,118GB,其他,943
100110556636,华为MateBook 14 酷睿 Ultra笔记本电脑 国家补贴20% 2.8K OLED触控手写屏 Ultra 5 16G 1T 深空灰,6199,京东自营,华为,119GB,Intel 其他,486
10088279183619,Apple苹果MacBookAir超薄Pro独显二手笔记本电脑游戏办公学习便携剪辑学生M1超薄i7 95新秒杀福利款高配定制8G+256G固态 95成新,790,优品择优二手电脑专营店,苹果,120GB,Intel i7,1954
100148824442,机械革命国家补贴20%极光X酷睿i7HX 16核游戏本笔记本电脑(i7-13700HX 16G 1T RTX4060 2.5K屏 白),6699,京东自营,机械革命,121GB,Intel i7,871
10123852242698,戴尔DELL戴尔笔记本电脑i7剪辑设计商务办公轻薄本吃鸡游戏本流畅高清 0-i5-16G-256GB-独显512MB 标准套餐,698,夏忆九五新电脑数码经营部,戴尔,122GB,Intel i5,725
10128823918309,华为HUAWEImatebook D14/数字14笔记本电脑超轻薄本学生商务办公本设计便携 D14十代i5/16G/独显 咨询客服享好礼  默认512G固态,2298,Matebook官企拼购店,华为,123GB,Intel i5,1490
10140740694853,戴睿dere2025新品英特尔超薄金属笔记本电脑轻薄本 16英寸商务便携办公大学生游戏本手提电脑 金属款2.5K超清屏/轻量化机身 16G内存 256G高速固态,1798,戴睿笔记本旗舰店,其他,124GB,其他,300
10048781689625,NAIWO国行2025新款英特尔+酷睿i7笔记本电脑高性能超薄轻薄本网课商务办公设计游戏本大学生手提AI 英特尔15代14英寸+全面屏+抗蓝光-银 8G内存+128G...,938,NAIWO旗舰店,其他,125GB,Intel i7,439
10112692947853,LGHO2025拯救系列新款笔记本电脑大学生专用高性能轻薄本设计编程商务办公本酷睿i9电竞游戏本4060独显 拯救系列/媲美酷睿i9级+独显/电竞游戏本 32G运...,2899,LGHO旗舰店,lg,126GB,Intel i9,1060
10148776137557,联想拯救者Y7000P 2025补贴20%游戏笔记本电脑酷睿i7满血4060独显 可选昭阳X3核显大学生工作站CAD建模 i7-13620H 16G内存 1TB固态标配X3 全新升级 官方正品丨1w+,4699,联想思凯乐专卖店,联想,127GB,Intel i7,2093
100125441931,Apple/苹果AI笔记本/MacBook Air 13.6英寸 M2 (8+8核) 16G 256G午夜色电脑 MC7X4CH/A,6399,京东自营,苹果,128GB,M2,138
10135137838066,Apple Macbook Pro二手苹果笔记本电脑超强M芯商务办公娱乐设计剪辑开发后期制作 95成新 18款13寸八代i5/8G-256G银/灰9Q2,2099,千选优品二手电脑专营店,苹果,129GB,Intel i5,819
10119659685275,LAVRIKOW2025拯救系列新款笔记本电脑大学生者专用高性能轻薄本设计编程商务办公酷睿i9满血独显电竞游戏本 拯救系列/14核20线程/电竞款游戏本+独显 32G...,4549,LAVRIKOW旗舰店,其他,130GB,Intel i9,1448
10072589307041,华为HUAWEI二手笔记本MateBook13/xpro触屏2K全面屏 便携二手笔记本电脑 Magic R5-2500-8G-256G-高分屏 95成新,1264,新开映二手电脑专营店,华为,131GB,Ryzen 5,367
10106381909118,联想 Lenovo 二手笔记本电脑 ThinkPad 13/14/15寸 商务办公本 独显 16G 特价款i5--8G-256G固态,592,鑫源二手笔记本专营店,联想,132GB,Intel i5,1320
10096693064638,HUVE2025款16代超薄本笔记本电脑高性能轻薄办公本设计专用手提大学生学习便携女生小尺寸高颜值 16代超极本 15.6寸 IPS护眼版 粉色 32G高速运行+1TB...,2188,HUVE笔记本旗舰店,其他,133GB,其他,464
100193182722,ThinkPad国家补贴20%联想ThinkBook14+ 2025轻薄办公 英特尔酷睿Ultra5 14.5英寸 32G 1T 3K笔记本电脑,6589,京东自营,联想,134GB,Intel 其他,744
